Company Name,Sector
Talbros Auto,Automotive
Shivam Auto,Automotive
Munjal Auto Ind,Automotive
Sundaram Brake,Automotive
SML Isuzu,Automotive
TVS Srichakra,Automotive
Suprajit Eng,Automotive
UCAL Fuel,Automotive
Autoline Ind,Automotive
Precision Camsh,Automotive
Setco Auto,Automotive
JMT Auto,Automotive
PAE,Automotive
Pavna Ind,Automotive
India Nippon,Automotive
PTL Enterprises,Automotive
Amara Raja Batt,Automotive
Wheels,Automotive
Balkrishna Ind,Automotive
Apollo Tyres,Automotive
M&M,Automotive
Sharda Motor,Automotive
Bosch,Automotive
Ceat,Automotive
WABCO India,Automotive
Elgi Rubber,Automotive
Escorts,Automotive
PPAP Automotive,Automotive
Jamna Auto,Automotive
Force Motors,Automotive
Sundaram-Clayto,Automotive
Endurance Techn,Automotive
Hero Motocorp,Automotive
Bajaj Auto,Automotive
Hind Motors,Automotive
Eicher Motors,Automotive
Maruti Suzuki,Automotive
Exide Ind,Automotive
MRF,Automotive
FIEM Ind,Automotive
Banco Products,Automotive
Rane Holdings,Automotive
Hind Composites,Automotive
HMT,Automotive
Minda Corp,Automotive
Lumax Inds,Automotive
Rico Auto,Automotive
Minda Ind,Automotive
Bharat Gears,Automotive
Steel Str Wheel,Automotive
TVS Motor,Automotive
Ndr Auto Compon,Automotive
Sandhar Technol,Automotive
Automotive Axle,Automotive
Motherson Sumi,Automotive
JK Tyre & Ind,Automotive
Gabriel India,Automotive
Subros,Automotive
Federal-Mogul,Automotive
Shriram Pistons,Automotive
JTEKT India,Automotive
Mah Scooters,Automotive
Ashok Leyland,Automotive
The Hi-Tech Gea,Automotive
Lumax Auto Tech,Automotive
Munjal Showa,Automotive
Tata Motors,Automotive
JBM Auto,Automotive
Omax Autos,Automotive
Rane Brake,Automotive
VST Tillers,Automotive
Rane Engine,Automotive
Atul Auto,Automotive
Rane Madras,Automotive
Pricol,Automotive
Remsons Ind,Automotive
Jay BharatMarut,Automotive
Auto Stampings,Automotive
Consol Finvest,Banking/Finance
Palash Securiti,Banking/Finance
Inventure Grow,Banking/Finance
REC,Banking/Finance
McDowell Hold,Banking/Finance
Arihant Super,Banking/Finance
Mask Investment,Banking/Finance
Rel Capital,Banking/Finance
Urja Global,Banking/Finance
Transwarranty,Banking/Finance
Onelife Capital,Banking/Finance
Centrum Capital,Banking/Finance
Viji Finance,Banking/Finance
Kanani Ind,Banking/Finance
Indiabulls Hsg,Banking/Finance
Reliance Home F,Banking/Finance
Lakshmi Finance,Banking/Finance
Power Finance,Banking/Finance
Coral India Fin,Banking/Finance
Prime Sec,Banking/Finance
Motor and Gen F,Banking/Finance
BF Investment,Banking/Finance
Wealth First Po,Banking/Finance
21st Cen Mgt,Banking/Finance
Alankit,Banking/Finance
VLS Finance,Banking/Finance
EBIXCASH WORLD,Banking/Finance
Signet Ind,Banking/Finance
